story_id,epic,feature,route,persona,user_story,precondition,steps,expected_behavior,apis,impl_status,test_method,milestone,notes,last_run,test_result,evidence
RUN-001,ランタイム,ポータブル配布起動,(startup),user,利用者として Glaux.exe 起動後に選択中モデルが自動で読み込まれることを期待する,dist/Glaux/ 配置済み,1. 配布フォルダをコピー 2. Glaux.exe 起動 3. 起動中→起動完了を待つ,runtime/llama-server.exe と選択中 model/*.gguf で推論が自動開始される,n/a,implemented,manual,M2,,,,
RUN-002,ランタイム,ポータブルパス解決,(startup),user,利用者として Glaux.exe と model/ だけの配布フォルダで起動したい,dist/Glaux/ 配置済み,1. Glaux.exe 起動 2. model/ の存在を確認 3. 起動,EXE 内蔵ランタイムが展開され、選択中 model/*.gguf で推論が開始される,n/a,implemented,manual,M2,,,,
RUN-003,ランタイム,子プロセス終了,(exit),user,利用者としてアプリ終了後に llama-server が残らないことを期待する,モデル起動済み,1. モデル起動 2. Glaux を終了 3. tasklist で llama-server を確認,llama-server プロセスが残存しない,n/a,implemented,manual,M2,,,,
MDL-001,モデル,起動ボタン,(model bar),user,利用者として停止状態から選択中モデルを起動したい,アセット展開可能,1. 起動ボタン 2. 状態が起動中→起動完了へ遷移,選択モデル名 — 起動完了 と表示,GET /health or /v1/models,implemented,manual,M5,,,,
MDL-002,モデル,停止ボタン,(model bar),user,利用者としてモデルを停止したい,起動完了,1. 停止ボタン 2. 状態が停止へ,送信・要約が無効化される,n/a,implemented,manual,M5,,,,
MDL-003,モデル,解説ウィンドウ,(model bar),user,利用者として選択中モデルのオフライン説明を読みたい,なし,1. 解説ボタン 2. ウィンドウ表示,外部リンクなしで日本語説明が表示される,n/a,implemented,manual,M5,,,,
MDL-004,モデル,モデル選択,(settings),user,利用者として設定画面で同梱モデル情報を確認したい,model/ に E2B GGUF 配置済み,1. 設定を開く 2. 使用モデルに E2B が表示される 3. ファイル名を確認,Google Gemma 4 E2B (Unsloth QAT Q2) と gemma-4-E2B-it-qat-UD-Q2_K_XL.gguf が表示される,n/a,implemented,manual,M5,,,,
CHT-001,チャット,送信とストリーム,(chat),user,利用者としてメッセージを送信しストリーミング応答を見たい,モデル起動完了,1. 入力 2. 送信 3. 応答が逐次表示,assistant メッセージが stream で更新される,POST /v1/chat/completions,implemented,manual,M4,,,,
CHT-002,チャット,履歴非保存,(chat),user,利用者として会話がディスクに保存されないことを期待する,チャット送信済み,1. 送信 2. AppData/Glaux を検索 3. 再起動,会話 DB/履歴ファイルが無く、再起動で会話が復元されない,n/a,implemented,manual,M4,,,,
CHT-003,チャット,クリーン,(chat),user,利用者としてメモリ上の会話を初期化したい,会話あり,1. クリーンボタン,Message list が空になり Context 概算が 0 付近,n/a,implemented,manual,M4,,,,
CHT-004,チャット,コピー,(chat),user,利用者として応答をクリップボードにコピーしたい,assistant 応答あり,1. コピーをクリック,クリップボードに応答本文が入りトーストが表示される,POST /v1/chat/completions,implemented,manual,M4,,,,
CTX-001,コンテキスト,概算表示,(model bar),user,利用者として現在のコンテキスト使用量の概算を見たい,会話あり,1. メッセージ追加 2. Context 表示を確認,約 N / 3000 · メモリ 約 N MB 形式で更新される,n/a,implemented,manual,M4,,,,
SET-001,設定,設定保存,(settings),user,利用者としてテーマ・文字サイズ・モデル・コンテキスト長を保存したい,なし,1. 設定を開く 2. 変更 3. 保存,%LOCALAPPDATA%/Glaux/config.json に反映（チャット本文は含まない）,n/a,implemented,manual,M7,,,,
SET-002,設定,設定 UI,(settings),user,利用者として外観とモデル・コンテキスト長を設定画面から変更したい,なし,1. 設定を開く 2. テーマ・モデル・コンテキスト長を変更 3. 保存,整列された設定 UI で theme/model/context が保存される,n/a,implemented,manual,M7,,,,
HLP-001,ヘルプ,Help Drawer,(help),user,利用者として履歴非保存ポリシーをオフラインで読みたい,なし,1. 本アイコン 2. Help 表示,メモリ上のみ・クリーン・概算の説明が表示,n/a,implemented,manual,M8,,,,
BLD-001,ビルド,release ビルド,n/a,developer,開発者として release ビルドが通ることを確認したい,Rust toolchain,1. cargo build --release,target/release/glaux.exe が生成される,n/a,implemented,build,M1,,,,
BLD-002,ビルド,ポータブル release,n/a,developer,開発者として artifacts 配置後にポータブル配布フォルダを dist へ出力したい,artifacts 配置済み（E2B）,1. scripts/build-release.ps1,dist/Glaux/ に Glaux.exe と model/ が生成される（runtime は EXE 内蔵）,n/a,implemented,build,M9,,,,
